transaction_id,client_id,amount,transaction_type,timestamp,client_country,counterparty_country,ofac_match_flag,fatf_country_flag,structuring_pattern_flag,rapid_movement_flag,trade_mispricing_flag,transaction_risk_score,client_risk_score,overall_risk_score,anomaly_flag,risk_level
26,1206,1567.46,Check,2025-07-12 02:26:23,JP,IR,1,1,0,0,0,60,30.0,90.0,1,HIGH
97,1137,125967.5,SWIFT,2025-07-27 23:31:31,DE,SG,0,0,0,0,0,0,0.0,0.0,-1,LOW
99,1849,1305.28,ACH,2025-08-07 10:59:08,KP,VE,1,0,0,0,0,40,50.0,90.0,1,HIGH
102,1987,2279.27,Check,2025-08-07 14:14:15,KP,SD,1,0,0,0,0,40,20.0,60.0,1,MEDIUM
107,751,5273.67,Check,2025-09-04 07:11:27,RU,KP,1,1,0,0,0,60,50.0,110.0,-1,HIGH
151,1660,577.74,ACH,2025-08-25 15:53:27,RU,SD,1,0,0,0,0,40,30.0,70.0,1,HIGH
172,830,1462.9,Check,2025-08-20 00:52:39,DE,IR,1,1,0,0,0,60,10.0,70.0,1,HIGH
174,716,58756.68,Wire,2025-08-12 20:50:54,IR,JP,0,0,0,0,0,0,20.0,20.0,-1,LOW
184,1043,9635.72,Wire,2025-07-08 11:57:11,SD,NL,0,0,1,1,0,30,20.0,50.0,1,MEDIUM
276,1538,3357.03,SWIFT,2025-07-31 05:15:55,AF,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
280,67,1324.36,Wire,2025-09-17 21:51:53,NL,KP,1,1,0,0,0,60,10.0,70.0,1,HIGH
318,1779,7001.14,Wire,2025-08-16 08:47:13,LB,SD,1,0,0,1,0,55,30.0,85.0,-1,HIGH
345,1073,1054.22,Wire,2025-07-10 02:12:49,AE,US,0,0,0,1,0,15,35.0,50.0,1,MEDIUM
356,1503,9412.35,Wire,2025-08-06 16:58:41,VE,SY,1,0,1,0,0,55,55.0,110.0,-1,HIGH
433,333,642.11,ACH,2025-07-22 18:01:57,IR,VE,1,0,0,0,0,40,50.0,90.0,1,HIGH
446,711,2802.5,Check,2025-07-11 13:54:25,AU,KP,1,1,0,0,0,60,45.0,105.0,-1,HIGH
513,1597,1486.12,Wire,2025-09-10 02:21:13,KP,RU,1,0,0,0,0,40,20.0,60.0,1,MEDIUM
514,772,62241.13,Wire,2025-09-19 07:18:42,SY,CH,0,0,0,0,0,0,0.0,0.0,-1,LOW
594,1593,808.6,ACH,2025-08-05 03:09:47,FR,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
686,254,602.12,Wire,2025-09-22 05:58:37,KP,SD,1,0,0,0,0,40,50.0,90.0,1,HIGH
688,1785,6230.12,ACH,2025-08-26 03:14:59,US,IR,1,1,0,0,0,60,50.0,110.0,-1,HIGH
724,714,60.64,ACH,2025-09-06 02:39:19,FR,KP,1,1,0,0,0,60,30.0,90.0,1,HIGH
730,1283,4067.55,Wire,2025-07-28 20:21:26,VE,VE,1,0,0,0,0,40,30.0,70.0,1,HIGH
747,1746,13632.38,ACH,2025-09-28 23:10:43,IR,VE,1,0,0,0,0,40,45.0,85.0,-1,HIGH
818,1503,1353.5,ACH,2025-07-15 07:19:22,VE,SY,1,0,0,0,0,40,55.0,95.0,1,HIGH
840,1433,1307.01,Wire,2025-09-23 19:46:01,VE,IR,1,1,0,0,0,60,30.0,90.0,1,HIGH
871,1215,3378.24,Check,2025-09-09 07:36:50,LB,VE,1,0,0,0,0,40,30.0,70.0,1,HIGH
875,665,16975.99,ACH,2025-07-26 03:09:52,LB,IR,1,1,0,0,0,60,55.0,115.0,-1,HIGH
878,751,895.62,Check,2025-08-23 08:03:46,RU,VE,1,0,0,0,0,40,50.0,90.0,1,HIGH
882,1787,408.24,ACH,2025-09-11 09:22:32,SD,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
928,1363,258.58,SWIFT,2025-09-09 18:34:53,DE,KP,1,1,0,0,0,60,20.0,80.0,1,HIGH
940,1485,2726.73,Check,2025-09-28 07:03:56,AF,IR,1,1,0,0,0,60,0.0,60.0,1,MEDIUM
947,1706,2275.56,Check,2025-07-29 19:47:09,CN,SY,1,0,0,0,0,40,30.0,70.0,1,HIGH
950,1354,3632.13,SWIFT,2025-08-19 02:27:59,CN,IR,1,1,0,0,0,60,20.0,80.0,1,HIGH
968,1660,2010.38,SWIFT,2025-07-20 04:14:12,RU,SD,1,0,0,0,0,40,30.0,70.0,1,HIGH
1045,1215,1080.19,Check,2025-08-14 12:29:19,LB,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
1074,1754,723.77,SWIFT,2025-08-05 19:18:23,US,SY,1,0,0,0,0,40,30.0,70.0,1,HIGH
1079,837,3194.26,Wire,2025-07-06 01:07:17,VE,SD,1,0,0,0,0,40,30.0,70.0,1,HIGH
1089,1350,24823.5,Wire,2025-07-14 23:20:21,SG,VE,1,0,0,0,0,40,30.0,70.0,-1,HIGH
1130,1782,138.86,Wire,2025-08-12 14:57:01,IN,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
1153,1058,1005.83,ACH,2025-09-06 00:59:28,VE,KP,1,1,0,0,0,60,0.0,60.0,1,MEDIUM
1175,1433,479.72,Check,2025-08-29 01:14:10,VE,RU,1,0,0,0,0,40,30.0,70.0,1,HIGH
1202,94,888.29,SWIFT,2025-08-25 14:45:36,NL,IR,1,1,0,0,0,60,30.0,90.0,1,HIGH
1224,681,108828.88,ACH,2025-09-28 21:04:24,NL,NL,0,0,0,0,0,0,0.0,0.0,-1,LOW
1245,520,3995.01,SWIFT,2025-09-25 06:06:02,US,KP,1,1,0,0,0,60,0.0,60.0,1,MEDIUM
1251,1216,781.05,SWIFT,2025-09-02 17:16:15,CN,SD,1,0,0,0,0,40,30.0,70.0,1,HIGH
1475,1785,485.41,ACH,2025-07-17 03:32:40,US,IR,1,1,0,0,0,60,50.0,110.0,-1,HIGH
1524,1219,1355.38,SWIFT,2025-07-13 16:08:03,SY,KP,1,1,0,0,0,60,50.0,110.0,-1,HIGH
1538,1787,2655.81,SWIFT,2025-09-02 06:28:22,SD,VE,1,0,0,0,0,40,30.0,70.0,1,HIGH
1599,1036,41201.8,ACH,2025-09-21 00:43:05,DE,AU,0,0,0,0,0,0,35.0,35.0,-1,LOW
1738,402,63232.75,Check,2025-08-28 19:42:04,VE,UK,0,0,0,0,0,0,0.0,0.0,-1,LOW
1777,524,73581.39,ACH,2025-07-27 01:09:17,AF,NL,0,0,0,0,0,0,0.0,0.0,-1,LOW
1784,455,93204.22,Wire,2025-08-03 21:45:40,VE,US,0,0,0,0,0,0,0.0,0.0,-1,LOW
1801,1663,25027.85,Wire,2025-09-27 23:02:13,SY,VE,1,0,0,0,0,40,30.0,70.0,-1,HIGH
1819,1179,102789.23,Wire,2025-07-17 22:52:09,SY,IR,1,1,0,0,0,60,0.0,60.0,-1,MEDIUM
1828,661,1663.21,Wire,2025-09-23 13:02:13,CH,SD,1,0,0,0,0,40,30.0,70.0,1,HIGH
1832,1571,16612.74,SWIFT,2025-09-01 19:07:02,CH,RU,1,0,0,0,0,40,30.0,70.0,-1,HIGH
1834,847,3130.79,ACH,2025-07-09 07:10:57,LB,IR,1,1,0,0,0,60,0.0,60.0,1,MEDIUM
1901,731,2525.51,ACH,2025-08-06 10:00:44,SY,SY,1,0,0,0,0,40,55.0,95.0,-1,HIGH
1932,1283,297.12,SWIFT,2025-07-07 17:41:28,VE,VE,1,0,0,0,0,40,30.0,70.0,1,HIGH
