transaction_id,client_id,amount,transaction_type,timestamp,client_country,counterparty_country,ofac_match_flag,fatf_country_flag,structuring_pattern_flag,rapid_movement_flag,trade_mispricing_flag,transaction_risk_score,client_risk_score,overall_risk_score,anomaly_flag,risk_level,case_id,status,priority,investigator
26,1206,1567.46,Check,2025-07-12 02:26:23,Japan,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00001,OPEN,HIGH,Unassigned
97,1137,125967.5,SWIFT,2025-07-27 23:31:31,Germany,Singapore,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00002,OPEN,MEDIUM,Unassigned
99,1849,1305.28,ACH,2025-08-07 10:59:08,North Korea,Venezuela,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00003,OPEN,HIGH,Unassigned
102,1987,2279.27,Check,2025-08-07 14:14:15,North Korea,Sudan,1,0,0,0,0,40,20.0,60.0,1,MEDIUM,CASE-00004,OPEN,MEDIUM,Unassigned
107,751,5273.67,Check,2025-09-04 07:11:27,Russia,North Korea,1,1,0,0,0,60,50.0,110.0,-1,HIGH,CASE-00005,OPEN,HIGH,Unassigned
151,1660,577.74,ACH,2025-08-25 15:53:27,Russia,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00006,OPEN,HIGH,Unassigned
172,830,1462.9,Check,2025-08-20 00:52:39,Germany,Iran,1,1,0,0,0,60,10.0,70.0,1,HIGH,CASE-00007,OPEN,HIGH,Unassigned
174,716,58756.68,Wire,2025-08-12 20:50:54,Iran,Japan,0,0,0,0,0,0,20.0,20.0,-1,LOW,CASE-00008,OPEN,MEDIUM,Unassigned
184,1043,9635.72,Wire,2025-07-08 11:57:11,Sudan,Netherlands,0,0,1,1,0,30,20.0,50.0,1,MEDIUM,CASE-00009,OPEN,MEDIUM,Unassigned
276,1538,3357.03,SWIFT,2025-07-31 05:15:55,Afghanistan,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00010,OPEN,HIGH,Unassigned
280,67,1324.36,Wire,2025-09-17 21:51:53,Netherlands,North Korea,1,1,0,0,0,60,10.0,70.0,1,HIGH,CASE-00011,OPEN,HIGH,Unassigned
318,1779,7001.14,Wire,2025-08-16 08:47:13,Lebanon,Sudan,1,0,0,1,0,55,30.0,85.0,-1,HIGH,CASE-00012,OPEN,HIGH,Unassigned
345,1073,1054.22,Wire,2025-07-10 02:12:49,United Arab Emirates,United States,0,0,0,1,0,15,35.0,50.0,1,MEDIUM,CASE-00013,OPEN,MEDIUM,Unassigned
356,1503,9412.35,Wire,2025-08-06 16:58:41,Venezuela,Syria,1,0,1,0,0,55,55.0,110.0,-1,HIGH,CASE-00014,OPEN,HIGH,Unassigned
433,333,642.11,ACH,2025-07-22 18:01:57,Iran,Venezuela,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00015,OPEN,HIGH,Unassigned
446,711,2802.5,Check,2025-07-11 13:54:25,Australia,North Korea,1,1,0,0,0,60,45.0,105.0,-1,HIGH,CASE-00016,OPEN,HIGH,Unassigned
513,1597,1486.12,Wire,2025-09-10 02:21:13,North Korea,Russia,1,0,0,0,0,40,20.0,60.0,1,MEDIUM,CASE-00017,OPEN,MEDIUM,Unassigned
514,772,62241.13,Wire,2025-09-19 07:18:42,Syria,Switzerland,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00018,OPEN,MEDIUM,Unassigned
594,1593,808.6,ACH,2025-08-05 03:09:47,France,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00019,OPEN,HIGH,Unassigned
686,254,602.12,Wire,2025-09-22 05:58:37,North Korea,Sudan,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00020,OPEN,HIGH,Unassigned
688,1785,6230.12,ACH,2025-08-26 03:14:59,United States,Iran,1,1,0,0,0,60,50.0,110.0,-1,HIGH,CASE-00021,OPEN,HIGH,Unassigned
724,714,60.64,ACH,2025-09-06 02:39:19,France,North Korea,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00022,OPEN,HIGH,Unassigned
730,1283,4067.55,Wire,2025-07-28 20:21:26,Venezuela,Venezuela,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00023,OPEN,HIGH,Unassigned
747,1746,13632.38,ACH,2025-09-28 23:10:43,Iran,Venezuela,1,0,0,0,0,40,45.0,85.0,-1,HIGH,CASE-00024,OPEN,HIGH,Unassigned
818,1503,1353.5,ACH,2025-07-15 07:19:22,Venezuela,Syria,1,0,0,0,0,40,55.0,95.0,1,HIGH,CASE-00025,OPEN,HIGH,Unassigned
840,1433,1307.01,Wire,2025-09-23 19:46:01,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00026,OPEN,HIGH,Unassigned
871,1215,3378.24,Check,2025-09-09 07:36:50,Lebanon,Venezuela,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00027,OPEN,HIGH,Unassigned
875,665,16975.99,ACH,2025-07-26 03:09:52,Lebanon,Iran,1,1,0,0,0,60,55.0,115.0,-1,HIGH,CASE-00028,OPEN,HIGH,Unassigned
878,751,895.62,Check,2025-08-23 08:03:46,Russia,Venezuela,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00029,OPEN,HIGH,Unassigned
882,1787,408.24,ACH,2025-09-11 09:22:32,Sudan,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00030,OPEN,HIGH,Unassigned
928,1363,258.58,SWIFT,2025-09-09 18:34:53,Germany,North Korea,1,1,0,0,0,60,20.0,80.0,1,HIGH,CASE-00031,OPEN,HIGH,Unassigned
940,1485,2726.73,Check,2025-09-28 07:03:56,Afghanistan,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00032,OPEN,MEDIUM,Unassigned
947,1706,2275.56,Check,2025-07-29 19:47:09,China,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00033,OPEN,HIGH,Unassigned
950,1354,3632.13,SWIFT,2025-08-19 02:27:59,China,Iran,1,1,0,0,0,60,20.0,80.0,1,HIGH,CASE-00034,OPEN,HIGH,Unassigned
968,1660,2010.38,SWIFT,2025-07-20 04:14:12,Russia,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00035,OPEN,HIGH,Unassigned
1045,1215,1080.19,Check,2025-08-14 12:29:19,Lebanon,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00036,OPEN,HIGH,Unassigned
1074,1754,723.77,SWIFT,2025-08-05 19:18:23,United States,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00037,OPEN,HIGH,Unassigned
1079,837,3194.26,Wire,2025-07-06 01:07:17,Venezuela,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00038,OPEN,HIGH,Unassigned
1089,1350,24823.5,Wire,2025-07-14 23:20:21,Singapore,Venezuela,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00039,OPEN,HIGH,Unassigned
1130,1782,138.86,Wire,2025-08-12 14:57:01,India,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00040,OPEN,HIGH,Unassigned
1153,1058,1005.83,ACH,2025-09-06 00:59:28,Venezuela,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00041,OPEN,MEDIUM,Unassigned
1175,1433,479.72,Check,2025-08-29 01:14:10,Venezuela,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00042,OPEN,HIGH,Unassigned
1202,94,888.29,SWIFT,2025-08-25 14:45:36,Netherlands,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00043,OPEN,HIGH,Unassigned
1224,681,108828.88,ACH,2025-09-28 21:04:24,Netherlands,Netherlands,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00044,OPEN,MEDIUM,Unassigned
1245,520,3995.01,SWIFT,2025-09-25 06:06:02,United States,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00045,OPEN,MEDIUM,Unassigned
1251,1216,781.05,SWIFT,2025-09-02 17:16:15,China,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00046,OPEN,HIGH,Unassigned
1475,1785,485.41,ACH,2025-07-17 03:32:40,United States,Iran,1,1,0,0,0,60,50.0,110.0,-1,HIGH,CASE-00047,OPEN,HIGH,Unassigned
1524,1219,1355.38,SWIFT,2025-07-13 16:08:03,Syria,North Korea,1,1,0,0,0,60,50.0,110.0,-1,HIGH,CASE-00048,OPEN,HIGH,Unassigned
1538,1787,2655.81,SWIFT,2025-09-02 06:28:22,Sudan,Venezuela,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00049,OPEN,HIGH,Unassigned
